no,index,registration,name,address,postcode,tel,fax
128,v,,VDL Enabling Technologies Group (S) Pte Ltd,259 Jalan Ahmad Ibrahim ,629148,65080320,62657466
129,v,,Vision One Pte Ltd,"No. 3, Kian Teck Road",628764,62648334,62643813
130,w,,Watson E.P. Industries Pte Ltd,"14 Jalan Mesin, Watson Ind. Bldg.",368814,62840094,62848275
131,w,,Winco Technologies Pte Ltd,"Blk 5004, Ang Mo Kio Ave 5 #02-07, Techplace II",569872,64812958,64812058
132,w,199902774D,WITTMANN BATTENFELD (SINGAPORE) PTE. LTD.,"48, TOH GUAN ROAD EAST, #03-123",608586,67958829,67958786
133,x,200715812N,XC TRADING SINGAPORE PTE. LTD.,"80, ANSON ROAD, #09-02",79907,65066049,63395610
134,y,,Yamaris Machinery Pte Ltd,"15, Pioneer Sector 3",628348,68629768,68628917
135,y,,Yangbum Engineering Pte Ltd,"Blk 20, Woodlands Link #03-33",738733,67357779,67597709
136,y,,Yeakin Plastic Industry Pte Ltd,"1, Woodlands Walk, Woodlands East Ind.Estate ",738366,67537333,67596355
137,y,,YG-1 Tools Asia Pte Ltd,"Block 3007, Ubi Road 1, #02-416",408701,68420468,68420482
